date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
736593.756782407,22.7579936385155,48.2739988714457,-250,4.65899492728931,5,-1,7,18,-176,-250,0,0
736593.756782407,72.9879967868328,98.933993652463,100,6.03499724519497,6,-1,8,1,60,100,0,0
736593.756782407,123.903995007277,149.837992340326,25,7.05099277114641,7,1,8,5,9,25,0,0
736593.756782407,174.680997803807,200.780997052789,-50,5.14099788093154,5,1,0,13,42,-50,0,0
736593.756782407,225.631998851895,250.344990938902,300,6.13800036632892,7,-1,14,0,202,300,0,0
736593.756782407,275.122999772429,300.929991155863,125,5.19399111855455,5,-1,20,0,-19,62,0,0
736593.756782407,325.686998292804,351.581999659538,-75,7.50599258291913,7,-1,19,3,-177,-38,0,0
736593.756782407,376.42799243331,402.338000759482,-10,6.34099605990195,6,1,0,12,70,-10,0,0
736593.756782407,427.536999061704,452.756999060512,150,5.46899977373687,6,1,13,34,298,75,0,0
736593.756782407,477.494996041059,503.351997211576,75,5.84199814975,6,-1,36,0,-179,75,0,0
736593.756782407,528.844999149442,554.484992846847,-200,5.81099156916753,6,1,0,15,-102,-200,0,0
736593.756782407,579.703997075558,605.62399327755,-125,10.9499922038303,10,-1,9,0,-191,-125,0,0
736593.756782407,630.596992000937,656.614996120334,-25,11.7979909786009,11,-1,22,0,-175,-25,0,0
736593.756782407,681.881998479366,707.882994040847,0,8.61299742686242,8,1,6,3,-22,0,0,0
736593.756782407,733.150992169976,758.260994777083,-300,3.3439993789143,4,-1,11,36,-132,-150,4,0
736593.756782407,783.102994412184,809.130000695586,10,5.94800077391119,6,-1,22,3,-124,5,0,0
736593.756782407,834.149991720915,859.832994639874,50,12.1759968906626,12,-1,25,0,-124,50,0,0
736593.756782407,884.8210003227,910.647997632623,-100,5.10799917065742,5,1,8,33,90,-100,0,0
736593.756782407,935.718994215131,961.186991259456,-350,4.12199961816805,4,1,0,53,22,-350,0,1
736593.756782407,986.206992343068,1012.310994789,0,6.77499502921273,7,-1,38,5,-238,0,0,0
736593.756782407,1037.33599483967,1062.59500086308,200,4.59499526858417,5,-1,57,0,-198,100,0,0
736593.756782407,1087.71699294448,1113.57199251652,-150,4.97899430263351,5,-1,24,14,-224,-75,0,0
736593.756782407,1138.69299888611,1163.7859929353,250,2.17399634791218,3,-1,69,7,-174,250,10,0
736593.756782407,1188.53299207985,1213.83299566805,350,3.21599756908108,4,-1,64,0,-96,350,5,0
