NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55199,0.547,0.33,NaN,0.698,0.084997,0.10199,0.773,0.30199,0.32899,NaN,0.94299,NaN,0.534,0.131,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014992,0.185,NaN,NaN,0.024995,0.083999,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.244,0.00099782,NaN,NaN,0.90099,NaN,NaN,NaN,NaN,0.671,0.221,1.053,0.198,0.342,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.791,0.066995,0.077002,NaN,0.099992,0.36,NaN,NaN,0.372,NaN,NaN,NaN,NaN,NaN,0.208,0.112,0.29,0.50199,0.283,NaN
NaN,0.63,0.191,0.0099953,1.122,0.189,0.0010017,0.13,0.010997,0.070993,NaN,0.25899,0.033,0.124,0.20099,0.066993,0.021997,0.611,NaN,NaN,0.113,0.411,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.473,0.00099603,0.27799,NaN,0.347,0.059993,0.049997,0.402,0.00099804,0.081996,0.649,0.111,0.021996,NaN,NaN,1.051,0.256,0.21
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.159,0.073996,0.165,0.086999,0.084996,0.0010016,0.53099,1.047,0.254,0.15,NaN,NaN,0.13,0.056001,0.066997,0.314,0.044995,0.043996
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.604,0.563,NaN,NaN,NaN,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.432,0.0010003,0.0010012,NaN,NaN,0.78699,0.11399,0.161,0.22299,0.273,0.13899,NaN,0.863,0.17699,0.060001,0.103,1.007,0.054001,0.141,0.161,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,1.11,0.6,0.025998,NaN,0.419,0.79999,NaN,NaN,NaN,NaN,0.78299,0.456,0.201,NaN,NaN
NaN,NaN,0.836,0.18999,0.12899,0.172,0.83599,0.133,0.091994,0.30599,NaN,0.56,0.363,0.0020007,0.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.791,0.099,0.010992,0.17299,0.061996,0.84399,0.37699,0.224,0.183,0.174,NaN,NaN,NaN,NaN,NaN,0.19599,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02,0.154,0.091001,NaN,0.505,0.071999,0.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.077,0.498
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.809,0.113,0.059996,0.894,0.00099836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64,NaN,NaN,NaN
NaN,NaN,NaN,0.141,0.1,0.00099921,0.178,0.13599,0.166,0.172,0.13,0.075994,0.176,0.037001,0.057999,0.012002,0.024995,NaN,NaN,0.673,0.14499,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.483,0.041995,0.010995,0.643,0.101,0.45199,NaN,0.805,NaN,0.482,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.963,0.204,0.172,0.104,0.25099,NaN,NaN,1.07,0.12299,0.57499,0.166,0.151,NaN,NaN,0.341,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.912,0.0019961,NaN,NaN,0.885,NaN,NaN,NaN,NaN,0.38099,0.518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.662,0.069996,0.00099816,0.115,0.036993,0.13199,0.029994,0.081,0.093998,0.009995,0.995,0.41199,0.016993,0.975,0.011001,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.352,0.061999,0.065995,0.0010017,0.2,NaN,NaN,0.975,NaN,NaN,NaN,0.41899,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.44499,0.135,0.105,0.32499,0.13099,NaN,NaN,0.201,0.684,NaN,0.319,0.105,NaN,0.482,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.984,0.147,0.052992,0.167,0.045001,0.071994,NaN,0.192,0.438,NaN,NaN,1.081,0.255,NaN,NaN,0.408,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.19399,0.013997,0.054001,0.132,0.086997,0.15699,0.201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.27,0.136,0.012,0.11499,0.028993,0.198,0.072996,NaN,0.84499,0.17899,NaN,NaN,NaN,NaN,0.518,NaN,NaN,0.40899,NaN
