date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff
736593.827962963,23.3840011060238,49.2080010473728,250,1.43699793850828,2,-1,63,0,-194
736593.827962963,74.281994998455,99.9620005488396,-100,3.7879949711496,4,-1,15,0,-200
736593.827962963,124.459996819496,150.321001186967,-25,3.45799455880478,4,-1,15,3,-117
736593.827962963,175.130995362997,201.222998276353,50,3.23999991737946,3,1,0,31,266
736593.827962963,226.009999215603,252.069996669888,-300,4.80099912523292,5,1,0,48,30
736593.827962963,277.1399974823,303.108997642994,-125,1.24499596511305,2,-1,31,28,-143
736593.827962963,328.185999020934,354.12799268961,75,3.95400090956537,4,-1,40,18,-77
736593.827962963,379.477996006608,405.802999064326,10,6.55899704802141,6,-1,21,4,-108
736593.827962963,431.075996160507,456.975996494293,-150,9.14999682211783,9,-1,6,22,-32
736593.827962963,481.858993694186,507.845998182893,-75,6.25099579727976,6,-1,38,6,-303
736593.827962963,532.99899995327,559.075000137091,200,1.94999943469884,2,-1,45,0,-106
736593.827962963,583.813992887735,609.575993567705,125,5.56799728727492,6,-1,34,0,-113
736593.827962963,634.923995286226,661.33099347353,25,4.09099523018813,4,-1,40,0,-247
736593.827962963,686.561997234821,713.165996968746,0,8.67499544369639,8,1,1,16,104
736593.827962963,738.570998981595,764.393993094563,300,2.0949986823689,2,-1,69,1,-180
736593.827962963,789.533999562263,815.729995071888,-10,3.44799353908456,4,-1,22,34,66
736593.827962963,840.879999473691,866.771993413568,-50,2.50099597191729,3,-1,44,21,-210
736593.827962963,892.077991738915,918.206999078393,100,7.76499689530465,7,-1,44,3,-190
736593.827962963,943.317997455597,969.646993651986,350,1.28999247026513,2,-1,64,0,-100
736593.827962963,994.756996259093,1021.14499434829,0,6.33299349177105,6,-1,33,10,-158
736593.827962963,1046.41599990427,1072.46399782598,-200,6.90699744879385,7,-1,3,38,44
736593.827962963,1097.46599458158,1123.92399832606,150,6.04799457252375,6,-1,35,0,-98
736593.827962963,1149.72099177539,1175.74399486184,-250,2.2859982856462,3,1,5,62,150
736593.827962963,1201.13299414515,1226.89199745655,-350,2.82100077104405,3,1,18,40,-192
