NaN,NaN,0.511,0.060997,0.108,NaN,0.54499,0.10199
NaN,NaN,0.599,0.085997,0.093993,0.0009997,0.161,NaN
NaN,NaN,0.53799,0.31,0.035002,0.155,0.116,NaN
NaN,1.075,0.138,0.17599,0.073993,0.0020007,0.139,0.021002
NaN,0.838,0.0019939,0.00099547,0.098993,0.222,NaN,NaN
NaN,NaN,0.71199,0.057002,0.081998,NaN,NaN,NaN
NaN,1.116,0.174,0.161,0.162,0.090996,NaN,NaN
NaN,NaN,0.797,0.092998,0.0019965,0.109,0.195,0.174
NaN,1.079,0.161,0.121,0.12799,0.017001,0.149,NaN
NaN,NaN,0.734,0.00099634,0.044999,0.72699,0.070993,0.121
NaN,NaN,0.665,0.174,0.076994,0.036994,0.814,0.043997
NaN,1.151,0.20299,0.157,0.13,0.14,0.0020022,NaN
NaN,NaN,0.067002,0.011002,0.076993,0.078001,0.384,0.101
