date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737260.697233796,19.5040080696344,27.4770084768534,200,0.566007815956254,1,-1,27,0,6,200,14,0
737260.697233796,74.0560054779053,82.4840024113655,200,3.27500280165987,3,-1,5,0,164,-300,1,0
737260.697233796,113.399002701044,121.847005560994,400,1.87600338852644,2,-1,24,0,232,-100,12,0
737260.697233796,152.942008897662,161.594003811479,200,NaN,NaN,NaN,0,0,200,-300,0,0
737260.697233796,192.559999600053,200.820003077388,400,1.9960056716227,2,-1,20,0,260,-100,13,0
737260.697233796,232.923007383943,241.768000647426,200,5.93500255632534,5,-1,1,0,192,-300,0,0
737260.697233796,273.127003759146,281.312002614141,400,1.14900175142247,1,-1,29,0,208,-100,22,0
737260.697233796,353.506008535624,362.306001037359,200,2.8220051032331,3,1,0,1,208,-300,0,1
737260.697233796,440.830006822944,449.302008748055,400,1.02700206256122,1,-1,3,0,378,-100,2,0
737260.697233796,530.789003893733,539.295002818108,200,1.08399942767574,1,1,1,5,228,-300,0,5
737260.697233796,627.061002328992,636.139005795121,400,4.31300871312851,4,-1,6,0,356,-100,2,0
737260.697233796,721.035004779696,729.331006854773,200,1.94800266266247,2,1,0,4,228,-300,0,4
737260.697233796,814.47900608182,822.866005450487,400,2.89600144338328,3,-1,17,0,282,-100,8,0
737260.697233796,906.605000048876,915.201000496745,200,0.777002472881577,1,1,0,4,226,-300,0,4
737260.697233796,1001.02000795305,1009.50500518084,400,2.20300344705902,2,-1,19,0,262,-100,6,0
737260.697233796,1095.46000063419,1104.01400774717,200,1.23100381434051,1,1,0,5,236,-300,0,5
737260.697233796,1190.61700813472,1199.67600144446,400,2.02700377869769,2,1,20,1,266,-100,13,1
737260.697233796,1284.93000492454,1293.26400719583,200,NaN,NaN,NaN,0,0,200,-300,0,0
737260.697233796,1346.32900804281,1354.98600192368,200,NaN,NaN,NaN,0,0,200,200,0,0
