date,startTime,endTime,pertSize,reactionTime,reactionStride,initialResponse,Lclicks,Rclicks,lastSpeedDiff,changeSize,eLclicks,eRclicks
737267.756377315,29.8429984599352,37.4580044299364,100,0.870999776001554,1,-1,10,0,30,100,8,0
737267.756377315,68.231001868844,75.7409993559122,-200,0.685996940970654,1,1,0,18,-78,-200,0,16
737267.756377315,105.914000049233,113.337999209762,0,1.13900010740326,1,1,1,5,28,0,0,5
737267.756377315,143.812004104257,151.378006115556,100,0.729998339651502,1,-1,12,0,22,100,12,0
737267.756377315,181.730999797583,189.259001612663,0,1.49500275278115,2,1,0,3,24,0,0,3
737267.756377315,219.204001128674,226.703004911542,200,0.944001238705823,1,1,11,8,182,200,1,8
737267.756377315,257.373005524278,264.862001314759,-100,1.40700272607501,2,1,0,15,8,-100,0,14
737267.756377315,295.382002741098,302.777003869414,200,0.821000098469085,1,-1,20,0,64,200,15,0
737267.756377315,333.28600153327,340.647005662322,0,3.58800259076816,4,1,0,2,14,0,0,1
737267.756377315,371.915997192264,379.610000923276,-100,1.40499862396973,2,-1,7,5,-116,-100,7,2
737267.756377315,410.5100043118,418.189996853471,0,3.06899792491458,3,-1,4,0,-30,0,2,0
737267.756377315,449.437000975013,457.334000989795,-200,1.4260041032976,2,1,0,19,-62,-200,0,13
